Code Name	Organisation Name	UPC Short Name	Organisation Type	Web URL	In Use	School Code	Institution Code	Placement Code	Sponsor Code	Department Code	User Defined Field 01	User Defined Field 02	User Defined Field 03	User Defined Field 04	User Defined Field 05	User Defined Field 06	User Defined Field 07	User Defined Field 08	User Defined Field 09	User Defined Field 10	User Defined Field 11	User Defined Field 12	User Defined Field 13	User Defined Field 14	User Defined Field 15	User Defined Field 16	User Defined Field 17	User Defined Field 18	User Defined Field 19	User Defined Field 20	Agent code	Level	Parent Organisation	Eng Primary Lang?	Status	Status start date	Status end date	Academic year style	Admissibility	Country code	Region code
98	University of Helsinki		HEI	"http://www.helsinki.fi/university	"	Y						FI	IAU-007163	IMPORT~27/02/20																	Helsingin yliopisto											
99	National Graduate School of Engineering Chemistry of Lille		HEI	"http://www.ensc-lille.fr/english-version.html	"	Y						FR	STA-00099	IMPORT~27/02/20																	Ecole Nationale Supérieure de Chimie de Lille											
100	University of Montevideo		HEI	"http://www.um.edu.uy	"	Y						UY	IAU-017543	IMPORT~27/02/20																	Universidad de Montevideo											
101	University of Nice-Sophia Antipolis		HEI	"http://unice.fr	"	Y						FR	IAU-019631	IMPORT~27/02/20																	Université de Nice-Sophia Antipolis											
102	Université Paris - Sorbonne (Paris IV) (Paris-Sorbonne University)		HEI	"http://www.paris-sorbonne.fr/en/	"	Y						FR	STA-00102	IMPORT~27/02/20																	Université Paris - Sorbonne (Paris IV) (Paris-Sorbonne University)											
103	Pierre-and-Marie-Curie University		HEI	"http://www.upmc.fr/	"	Y						FR	STA-00103	IMPORT~27/02/20																	Université Pierre et Marie Curie - Paris VI (UPMC)											
104	Sciences Po - Institute of Political Studies Paris		HEI	"https://www.sciencespo.fr	"	Y						FR	IAU-007908	IMPORT~27/02/20																	Sciences Po - Institut d'Etudes politiques de Paris											
105	Ecole du Louvre		HEI	"http://www.ecoledulouvre.fr	"	Y						FR	IAU-004051	IMPORT~27/02/20																	Ecole du Louvre											
106	University of Perpignan Via Domitia		HEI	"https://www.univ-perp.fr	"	Y						FR	IAU-019637	IMPORT~27/02/20																	Université de Perpignan Via Domitia											
107	"Institut d'Études Politiques, Université de Strasbourg (Sciences Po Strasbourg)"		HEI	"http://www-iep.u-strasbg.fr/	"	Y						FR	STA-00107	IMPORT~27/02/20																	"Institut d'Études Politiques, Université de Strasbourg (Sciences Po Strasbourg)"											
108	University of Toulouse Jean Jaurès		HEI	"http://www.univ-tlse2.fr	"	Y						FR	IAU-019660	IMPORT~27/02/20																	Université Toulouse - Jean Jaurès											
109	"Trinity College Dublin, The University of Dublin"		HEI	"http://www.tcd.ie	"	Y						IE	IAU-002879	IMPORT~27/02/20																	"Coláiste na Tríonóide, Baile Átha Cliath"											
110	Indian Institute of Science Education and Research		HEI	"http://www.iisermohali.ac.in/	"	Y						IN	STA-00110	IMPORT~27/02/20																	Indian Institute of Science Education and Research											
111	University of Iceland		HEI	"http://www.hi.is	"	Y						IS	IAU-007045	IMPORT~27/02/20																	Háskóli Íslands											
112	European University Institute		HEI	"http://www.eui.eu	"	Y						IT	IAU-004868	IMPORT~27/02/20																	European University Institute											
386	Eqrem Çabej University of Gjirokstra		HEI	"http://www.uogj.edu.al	"	Y						AL	IAU-019892	IMPORT~27/02/20																	Universiteti 'Eqrem Çabej' Gjirokastër											
387	European University in Tirana		HEI	"http://www.uet.edu.al	"	Y						AL	IAU-019901	IMPORT~27/02/20																	Universiteti Europian i Tiranës											
388	Fan S. Noli University Korce		HEI	"http://www.unkorce.edu.al	"	Y						AL	IAU-019893	IMPORT~27/02/20																	Universiteti 'Fan S. Noli' Korçë											
389	Luarasi University		HEI	"http://www.luarasi-univ.edu.al	"	Y						AL	IAU-019909	IMPORT~27/02/20																	Universiteti Luarasi											
390	Luigj Gurakuqi University of Shkodra		HEI	"http://www.unishk.edu.al	"	Y						AL	IAU-019903	IMPORT~27/02/20																	Universiteti i Shkodrës 'Luigj Gurakuqi'											
391	Marin Barleti University		HEI	"http://www.umb.edu.al	"	Y						AL	IAU-019895	IMPORT~27/02/20																	Universiteti 'Marin Barleti'											
392	"Medical University, Tirana"		HEI	"http://www.umed.edu.al	"	Y						AL	IAU-023218	IMPORT~27/02/20																	"Universiteti i Mjekësisë, Tiranë"											
393	Metropolitan Tirana University		HEI	"http://umt.edu.al	"	Y						AL	IAU-026949	IMPORT~27/02/20																	Universiteti Metropolitan Tirana											
394	Our Lady of Good Counsel Catholic University		HEI	"http://www.unizkm.edu.al	"	Y						AL	IAU-021857	IMPORT~27/02/20																	Universiteti Katolik Zoja e Këshillit të Mirë											
395	POLIS University		HEI	"http://www.universitetipolis.edu.al	"	Y						AL	IAU-019910	IMPORT~27/02/20																	Universiteti POLIS											
